Class ID	Parents
DOID_8986	DOID_535
DOID_7233	DOID_5349
DOID_5236	DOID_2431
DOID_1934	DOID_0080006
DOID_1086	
DOID_7080	
DOID_1781	DOID_170|DOID_50
DOID_0060371	DOID_0060892
DOID_0050262	
DOID_1572	DOID_1573
DOID_0060481	DOID_225
DOID_8598	
DOID_0050372	
DOID_9047	
DOID_12059	
DOID_14026	DOID_5113
DOID_9923	DOID_0060038
DOID_0111090	DOID_13636
DOID_1908	
DOID_530	DOID_0050815
DOID_2023	
DOID_9561	DOID_974
DOID_3302	DOID_3303
DOID_10881	DOID_934
DOID_0070022	DOID_2729
DOID_419	DOID_0060032|DOID_1575|DOID_854
DOID_6873	DOID_2053
DOID_12671	
DOID_4691	DOID_5559
DOID_5630	DOID_6961|DOID_4830
DOID_8657	
DOID_10565	
DOID_5116	
DOID_1119	
DOID_5604	DOID_9952
DOID_11316	DOID_3612
DOID_0060448	DOID_0060442
DOID_6993	DOID_6994|DOID_6992
DOID_5142	DOID_0060109
DOID_8478	DOID_0050339
DOID_4427	
DOID_2733	DOID_37
DOID_2942	DOID_850
DOID_10077	
DOID_4185	
DOID_4606	DOID_4607|DOID_4138
DOID_9818	
DOID_773	
DOID_10337	DOID_1686|DOID_5723
DOID_7968	DOID_6477
DOID_13999	DOID_2456
DOID_4547	DOID_4545
DOID_0050919	DOID_4876|DOID_4531
DOID_10152	DOID_10153
DOID_225	DOID_4
DOID_2697	DOID_731
DOID_4726	
DOID_0050022	
DOID_0050005	
DOID_0080144	DOID_9952
DOID_0080161	DOID_1508
DOID_0050115	
DOID_0050132	DOID_13250
DOID_0080017	
DOID_13627	
DOID_86	
DOID_407	DOID_404
DOID_6546	
DOID_0080127	DOID_700
DOID_0050809	DOID_12798
DOID_0110647	DOID_2843
DOID_5489	
DOID_2460	DOID_1242
DOID_13159	DOID_1749|DOID_3445
DOID_0050798	DOID_9252
DOID_10933	DOID_2030
DOID_9545	
DOID_3858	
DOID_6000	DOID_114
DOID_4091	
DOID_11873	
DOID_0050712	DOID_0050798
DOID_955	DOID_3192
DOID_2092	DOID_381
DOID_4065	DOID_3247
DOID_13663	
DOID_0111100	DOID_0050524
DOID_2580	DOID_2581
DOID_771	DOID_4645
DOID_13214	DOID_2007
DOID_10301	DOID_10302
DOID_0060711	DOID_0060655
DOID_0050602	DOID_0050737
DOID_2127	DOID_1319
DOID_0111072	DOID_66
DOID_5614	DOID_1492
DOID_1891	DOID_5656
DOID_9063	DOID_0050339
DOID_3764	DOID_0050736
DOID_8976	
DOID_10842	DOID_934
DOID_1229	DOID_5419
DOID_1438	
DOID_3917	DOID_3918
DOID_9392	DOID_3225
DOID_14498	DOID_3146
DOID_0050688	DOID_5672
DOID_5369	
DOID_541	
DOID_1709	
DOID_1556	DOID_1557
DOID_9427	DOID_9428
DOID_11629	DOID_1284
DOID_3529	DOID_422
DOID_12128	DOID_8670
DOID_2498	DOID_214
DOID_5132	DOID_2438
DOID_8494	
DOID_0060229	DOID_225
DOID_1076	DOID_11400
DOID_3800	
DOID_14085	
DOID_0000405	
DOID_0060339	DOID_225
DOID_11172	
DOID_12984	DOID_338
DOID_8488	DOID_780
DOID_5252	
DOID_1109	
DOID_5311	
DOID_7005	DOID_3069
DOID_14522	DOID_8483
DOID_11432	DOID_2277|DOID_289
DOID_3312	DOID_3324
DOID_13527	
DOID_4075	DOID_3111|DOID_4896
DOID_11391	
DOID_7799	
DOID_6048	DOID_2435
DOID_0110129	DOID_1935
DOID_784	DOID_1074
DOID_0110146	DOID_445
DOID_0110256	DOID_83
DOID_0110239	DOID_83
DOID_10437	
DOID_0110349	DOID_12347
DOID_0110366	DOID_10584
DOID_8251	DOID_3250
DOID_6107	
DOID_8310	DOID_5998|DOID_3274
DOID_2623	
DOID_9649	DOID_9650
DOID_2590	DOID_1184
DOID_0070131	DOID_0070142
DOID_0090051	DOID_0050836
DOID_0060005	DOID_417
DOID_14727	
DOID_0060022	DOID_628
DOID_0060115	DOID_0060085
DOID_0060132	DOID_4090
DOID_0080052	DOID_0080049
DOID_0090034	DOID_0090033
DOID_4890	DOID_0050705
DOID_12571	DOID_1686
DOID_0090144	DOID_0050737
DOID_0080035	
DOID_0060826	DOID_0060309
DOID_0060809	DOID_0060309
DOID_1201	DOID_338
DOID_599	DOID_591
DOID_4925	
DOID_10177	DOID_1073|DOID_10824
DOID_4228	
DOID_224	DOID_2316
DOID_0070004	DOID_4960
DOID_12831	
DOID_0060798	DOID_0060786
