DOID	Number_of_ancestors
DOID_12732	10
DOID_12733	8
DOID_12730	1
DOID_12731	11
DOID_12089	1
DOID_12734	1
DOID_12735	6
DOID_12084	10
DOID_12739	1
DOID_12080	1
DOID_12081	1
DOID_12083	1
DOID_5287	9
DOID_5286	10
DOID_5285	8
DOID_5284	8
DOID_5283	8
DOID_5282	9
DOID_5281	1
DOID_5280	8
DOID_0050922	7
DOID_5289	11
DOID_5288	8
DOID_11427	7
DOID_11426	1
DOID_11424	7
DOID_11421	1
DOID_5432	9
DOID_11429	7
DOID_11428	7
DOID_0060047	7
DOID_0060510	9
DOID_0060045	5
DOID_0060512	9
DOID_0060515	9
DOID_0060514	9
DOID_0060041	6
DOID_0060040	5
DOID_0060519	8
DOID_0050921	8
DOID_13884	8
DOID_0110962	10
DOID_0060049	7
DOID_0060048	8
DOID_12884	1
DOID_12557	11
DOID_12554	8
DOID_12555	1
DOID_12552	1
DOID_12881	1
DOID_12550	8
DOID_12883	5
DOID_4851	8
DOID_2952	7
DOID_5437	8
DOID_12888	1
DOID_12889	10
DOID_12558	9
DOID_0110965	10
DOID_265	8
DOID_0110966	10
DOID_0050920	10
DOID_5063	9
DOID_0110967	10
DOID_5062	6
DOID_2880	1
DOID_2882	1
DOID_2883	7
DOID_2885	8
DOID_2886	1
DOID_2887	8
DOID_2889	7
DOID_0110637	10
DOID_0050927	7
DOID_0110605	6
DOID_4853	9
DOID_0110816	8
DOID_0050733	8
DOID_0050730	6
DOID_11283	10
DOID_11282	10
DOID_11281	1
DOID_0050731	6
DOID_11287	1
DOID_11286	1
DOID_11285	7
DOID_11284	1
DOID_12252	1
DOID_11289	9
DOID_0110600	6
DOID_2776	9
DOID_2777	1
DOID_1289	6
DOID_2775	10
DOID_2772	8
DOID_0110603	6
DOID_2770	1
DOID_2771	1
DOID_1283	7
DOID_1282	1
DOID_1281	1
DOID_0110602	6
DOID_1287	4
DOID_1285	6
DOID_2779	1
DOID_10774	1
DOID_3828	8
DOID_10772	7
DOID_10773	7
DOID_3821	10
DOID_3820	1
DOID_10778	10
DOID_10779	10
DOID_3827	7
DOID_6703	9
DOID_6250	1
DOID_6253	1
DOID_6700	9
DOID_6255	9
DOID_6706	10
DOID_681	8
DOID_680	7
DOID_6259	8
DOID_0110609	6
DOID_7713	12
DOID_6708	1
DOID_688	7
DOID_2413	1
DOID_2412	1
DOID_2411	8
DOID_2410	9
DOID_2417	1
DOID_2416	1
DOID_2415	1
DOID_13167	1
DOID_10488	4
DOID_10489	1
DOID_17	4
DOID_10487	8
DOID_15	4
DOID_14	1
DOID_10482	1
DOID_10483	1
DOID_10480	7
DOID_10481	6
DOID_10048	1
DOID_3055	6
DOID_1964	7
DOID_1965	8
DOID_1962	6
DOID_10326	9
DOID_0060511	9
DOID_0060046	8
DOID_14311	1
DOID_0060513	8
DOID_1375	5
DOID_0060044	5
DOID_351	1
DOID_0060043	4
DOID_353	1
DOID_355	7
DOID_357	1
DOID_356	1
DOID_1947	6
DOID_0060517	9
DOID_6578	1
DOID_0060516	9
DOID_7519	10
DOID_14679	4
DOID_10959	1
DOID_7070	1
DOID_7071	11
DOID_7076	9
DOID_7077	8
DOID_4858	7
DOID_7075	1
DOID_14671	7
DOID_14670	7
DOID_10952	6
DOID_7079	10
DOID_10954	1
DOID_10955	6
DOID_10957	1
