Class ID	Parents
HP_0002626	HP_0002619
HP_0008585	
HP_0025610	HP_0000498
HP_0011138	HP_0001574
HP_0001563	HP_0001560
HP_0004456	
HP_0000399	HP_0011474
HP_0002366	HP_0000759|HP_0002450
HP_0003965	HP_0040072
HP_0006210	HP_0001180
HP_0002153	HP_0011042
HP_0010387	HP_0010342|HP_0010177
HP_3000033	HP_0100765|HP_0001739
HP_0000836	HP_0002926
HP_0004716	
HP_0007782	HP_0007769
HP_0009918	HP_0000615
HP_0030305	HP_0030304
HP_0010182	HP_0010161
HP_0011994	HP_0001671
HP_0005656	HP_0001760
HP_0008640	HP_0000053
HP_0001599	
HP_0030100	HP_0030089
HP_0006479	HP_0011061
HP_0031068	HP_0031069
HP_0025173	HP_0030879
HP_0006246	
HP_0004104	
HP_0005916	HP_0001163|HP_0040065
HP_0010442	HP_0011297
HP_0031505	HP_0031508
HP_0003292	HP_0004361
HP_0004303	HP_0011805
HP_0012537	HP_0001939
HP_0011714	HP_0100584
HP_0040192	HP_0100568
HP_0009068	
HP_0007842	
HP_0045052	HP_0410010
HP_0002962	
HP_0003109	HP_0012599
HP_0001150	
HP_0008754	HP_0025423|HP_0010766
HP_0004697	
HP_0031231	HP_0031228
HP_0010983	HP_0001426
HP_0100909	HP_0100917|HP_0100919
HP_0000568	HP_0008056|HP_0100887
HP_0012064	HP_0012062
HP_0009505	HP_0010249|HP_0009491|HP_0009499
HP_0001410	HP_0025155
HP_0031704	HP_0000598
HP_0005448	
HP_0004492	HP_0000239|HP_0010537
HP_0005503	
HP_0011102	HP_0001549|HP_0011100
HP_0001186	
HP_0002998	
HP_0009300	HP_0009408|HP_0009284
HP_0100680	
HP_0011581	HP_0001711
HP_0005243	HP_0010318
HP_0006155	HP_0005918
HP_0001623	HP_0001787
HP_0006628	HP_0011863|HP_0006714
HP_0008718	HP_0000110
HP_0006002	
HP_0007814	HP_0007703
HP_0012269	HP_0004303
HP_0007081	HP_0003560
HP_0008893	
HP_0031176	HP_0008465
HP_0000628	
HP_0003461	HP_0012067
HP_0012706	HP_0025047
HP_0025281	HP_0025280
HP_0000155	HP_0011830
HP_0001967	HP_0001966
HP_0500058	HP_0500056
HP_0010570	HP_0011436
HP_0100472	HP_0010389
HP_0005035	HP_0010161|HP_0001831
HP_0006847	
HP_0004212	
HP_0200004	
HP_0007981	
HP_0012501	HP_0002363
HP_0030480	HP_0030473
HP_0003918	HP_0003907
HP_0006787	
HP_0001762	HP_0001883
HP_0007554	HP_0001010
HP_0003497	
HP_0010107	HP_0010085|HP_0010111
HP_0011919	HP_0002202
HP_0030846	HP_0030163
HP_0040252	HP_0000056
HP_0031649	HP_0001679
HP_0000210	
HP_0008305	HP_0002913
HP_0011750	HP_0011747|HP_0040277
HP_0004248	HP_0001191
HP_0025486	HP_0012881
HP_0008480	HP_0003319
HP_0012845	HP_0012844
HP_0002521	HP_0011198
HP_0010755	HP_0000326
HP_0004417	HP_0025323
HP_0030006	HP_0003457
HP_0040224	HP_0001928
HP_0010326	HP_0100498|HP_0010319
HP_0006086	HP_0005916
HP_0004860	HP_0001889
HP_0006950	
HP_0025059	HP_0025408
HP_0005007	
HP_0100228	HP_0100099|HP_0100081
HP_0001554	
HP_0007759	HP_0007957|HP_0011492
HP_0009680	HP_0009691|HP_0009662|HP_0010251
HP_0025541	HP_0005339
HP_0011069	HP_0006483
HP_0012233	HP_0011805
HP_0100023	HP_0000733
HP_0002494	HP_0002360
HP_0006374	
HP_0030862	HP_0030860
HP_0002261	
HP_0011506	HP_0001103|HP_0025568
HP_0030433	HP_0100246
HP_0007141	HP_0009830
HP_0500022	HP_0030347
HP_0001931	HP_0010972
HP_0004844	HP_0001878
HP_0025114	HP_0011368
HP_0006811	
HP_0003012	
HP_0007890	
HP_0002754	HP_0011843|HP_0012649
HP_0006146	HP_0005913
HP_0003253	
HP_0007310	
HP_0000936	
HP_0006895	HP_0002509|HP_0001437
HP_0031405	HP_0012842
HP_0001759	
HP_0012432	HP_0012378
HP_0002903	
HP_0005083	
HP_0004004	HP_0003999|HP_0010582
HP_0005816	
HP_0025510	HP_0003764
HP_0009472	
HP_0011681	HP_0001629
HP_0005343	HP_0010476
HP_0012005	HP_0012004
HP_0200132	
HP_0006523	
HP_0011842	HP_0000924
HP_0009436	HP_0009850|HP_0004172|HP_0009446
HP_0002466	
HP_0100671	HP_0003330
HP_0003217	HP_0010903|HP_0003112
HP_0030618	HP_0030617
HP_0001081	HP_0012437
HP_0009909	HP_0000363
HP_0002893	HP_0011750
HP_0009176	
HP_0009009	
HP_0011238	HP_0011243
HP_0008685	
HP_0001499	
HP_0006742	HP_0003006
HP_0010847	HP_0010850
HP_0009605	
HP_0100840	HP_0000534
HP_0000523	HP_0000518
HP_0005548	HP_0012143
HP_0010074	HP_0010065|HP_0010054
HP_0006315	HP_0011064
HP_0031580	HP_0100731
HP_0002258	
HP_0007394	HP_0011276
HP_0009228	HP_0009375|HP_0009853|HP_0009150
HP_0040092	HP_0010722
HP_0025045	HP_0012705
HP_0004088	
HP_0002862	HP_0009725
HP_0012601	HP_0012600
HP_0031489	HP_0031486
HP_0001908	HP_0010972
HP_0003009	HP_0000759
HP_0010511	HP_0001780
HP_0009957	HP_0009998|HP_0009945
HP_0002053	
HP_0003865	HP_0031095|HP_0006488
HP_0007942	HP_0000602
HP_0012377	HP_0001123
HP_3000078	HP_0000153|HP_0000277
HP_0006110	HP_0005819
HP_0000559	HP_0100699|HP_0007957
HP_0100876	HP_0000606
HP_0001723	HP_0001638
HP_0007682	
HP_0025278	HP_0025276
HP_0008272	HP_0000124
HP_0003392	HP_0002460
HP_0005288	HP_0000366
HP_0200077	
HP_0012637	HP_0011280
HP_0031544	HP_0004359
HP_0011819	HP_0000185
HP_0030746	HP_0002170
HP_0025427	HP_0002795
HP_0008441	HP_0005108
HP_0005135	HP_0003115
HP_0031713	HP_0000577
HP_0001022	HP_0007513|HP_0005599
HP_0008793	
HP_0006911	
HP_0009804	HP_0006483
HP_0012169	HP_0100716
HP_0011346	HP_0002474
HP_0002594	HP_0100800
HP_0006651	
HP_0000468	HP_0009126|HP_0000464
HP_0010883	HP_0001646
HP_0031749	HP_0031740
HP_0100785	HP_0002360
HP_0030801	HP_0030800
HP_0001310	HP_0001251
HP_0004348	HP_0011849
HP_0009993	HP_0010000|HP_0009986|HP_0009990
HP_0030380	HP_0030379
HP_0008181	HP_0003563
HP_0001058	HP_0011354
HP_0012546	HP_0002686
HP_0000728	HP_0000735
HP_0006687	HP_0001679
HP_0007186	
HP_0010603	HP_0100612
HP_0008998	HP_0009004|HP_0005258
HP_0004960	HP_0030966
HP_0011382	HP_0011380
HP_0009840	HP_0100915|HP_0009772
HP_0031300	HP_0025465
HP_0009749	
HP_0002779	HP_0002778
HP_0002421	HP_0001324
HP_0100771	HP_0030914
HP_0012745	HP_0200007
HP_0007446	HP_0040211|HP_0100872
HP_0004317	
HP_0030718	HP_0025580
HP_0003993	HP_0003971|HP_0040071|HP_0005622
HP_0030585	HP_0030584
HP_0040108	HP_0011380
HP_0003361	HP_0003355|HP_0004365
HP_0100632	HP_0002101
HP_0007241	
HP_0011606	
HP_0010470	HP_0000035
HP_0031336	HP_0031335
HP_0100372	HP_0010331|HP_0010359|HP_0010369|HP_0010194
HP_0003621	HP_0003674
HP_0005711	
HP_0012133	HP_0012131
HP_0009580	HP_0009552|HP_0009544
HP_0001394	HP_0410042
HP_0005451	HP_0004331
HP_0000315	HP_0000271
HP_0030755	HP_0009792
HP_0100802	HP_0002577
HP_0010640	HP_0000366
HP_0025174	HP_0030879
HP_0007411	HP_0008065
HP_0003354	HP_0010900|HP_0003112
HP_0011588	HP_0011587
HP_0004105	
HP_0005917	HP_0001163
HP_0031506	HP_0031505
HP_0000048	HP_0000045
HP_0005693	
HP_0006704	HP_0011004
HP_0000491	HP_0011495|HP_0100533
HP_0025611	HP_0000286
HP_0011139	HP_0002577|HP_0011140
HP_0012126	HP_0006753
HP_0010900	HP_0010899
HP_0009573	HP_0009543|HP_0009848|HP_0009551|HP_0100904
HP_0006444	
HP_0010809	HP_0000172
HP_0002387	
HP_0002442	HP_0001328
HP_0030810	HP_0000157
HP_0007447	HP_0000972
HP_0040145	HP_0001941|HP_0010995
HP_0011643	HP_0011642
HP_0005305	HP_0004936
HP_0100365	
HP_0001691	HP_0001682
HP_0012339	HP_0012338
HP_0031069	HP_0002823
HP_0002099	HP_0002795|HP_0100326
HP_0004753	
HP_0008810	
HP_0001769	HP_0001760
HP_0006649	HP_0012531|HP_0000919
HP_0002359	HP_0004302|HP_0002311
HP_0100564	HP_0100561
HP_0009329	HP_0009418|HP_0009334|HP_0010265
HP_0001411	
HP_0007370	HP_0007364|HP_0001273
HP_0025343	HP_0030057
HP_0006416	
HP_0031681	HP_0031678
HP_0009160	HP_0009153|HP_0010268|HP_0009382
HP_0045073	HP_0012649
HP_0004280	HP_0010660
HP_0040193	
HP_0009069	HP_0003737
HP_0006909	
HP_0007988	HP_0008002
HP_0001151	HP_0007772
HP_0002963	HP_0011840
HP_0006231	
HP_0007034	HP_0001347
HP_0004914	HP_0001988
HP_0004141	
HP_0000857	HP_0000831
HP_0010388	HP_0010342|HP_0100929|HP_0010178
HP_0030326	HP_0004311
HP_0001824	HP_0004325
HP_0007783	
HP_0000012	HP_0000009
HP_0025007	HP_0000493
HP_0004493	HP_0004437|HP_0000271|HP_0011821
HP_0005504	
HP_0100941	HP_0100928|HP_0100948
HP_0025379	HP_0030057
HP_0008373	HP_0000818
HP_0010648	HP_0011121
HP_0007575	
HP_0025403	HP_0100022
HP_0030847	HP_0030846
HP_0001356	
HP_0011751	HP_0012503
HP_0007148	
HP_0045045	HP_0012071
HP_0006003	
HP_0001616	
HP_0004509	
HP_0031177	HP_0030237
HP_0008755	HP_0002779
HP_0004698	
HP_0010984	HP_0001426
HP_0000660	HP_0008046
HP_0007630	
HP_0000569	
HP_0005449	HP_0002681
HP_0100886	HP_0000315|HP_0012374
HP_0200025	HP_0012531|HP_0000277
HP_0005236	HP_0001733
HP_0000211	HP_0000277
HP_0007203	
HP_0003146	HP_0003107
HP_0008282	HP_0002904
HP_0005709	HP_0010621
HP_0003750	HP_0011804
HP_0006788	
HP_0000829	HP_0011767
HP_0011527	HP_0011526
HP_0001203	
HP_0031473	HP_0031466
HP_0007287	
HP_0006208	HP_0003021
HP_0025115	HP_0011124
HP_0009941	HP_0011338
HP_0006812	HP_0002500
HP_0002755	
HP_0025487	HP_0000014
HP_0100060	HP_0010329|HP_0010167
HP_0003667	
HP_0010776	HP_0010777|HP_0010778
HP_0002282	HP_0002269
HP_0100678	HP_0007495
HP_0004418	HP_0004936
HP_0100733	HP_0100568|HP_0011766
HP_0012707	HP_0025045
HP_0000156	
HP_0001968	
HP_0010571	HP_0010965
HP_0009238	HP_0009380|HP_0006262
HP_0100473	HP_0010365
HP_0031437	HP_0002686
HP_0005252	
HP_0040040	HP_0001806|HP_0008388
HP_0009681	HP_0009662|HP_0009692|HP_0010252
HP_0003722	HP_0000467
HP_0012234	HP_0001913
HP_0000416	
HP_0030883	HP_0001384
HP_0005618	
HP_0010144	HP_0010119|HP_0010124
HP_0006804	
HP_0011239	HP_0011243
HP_0012882	HP_0012881
HP_0006544	HP_0100632
HP_0011070	HP_0011077|HP_0006482
HP_0002487	HP_0100022
HP_0003254	HP_0011017
HP_0000957	HP_0011355
HP_0010363	HP_0010330|HP_0010177
HP_0007134	
HP_0031229	HP_0031228
HP_0100265	HP_0100240
HP_0005817	HP_0001830
HP_0002924	
HP_0004881	HP_0002791
HP_0008074	HP_0030313|HP_0001832
HP_0012439	HP_0001080
HP_0100320	HP_0100314
HP_0009886	HP_0003328
HP_0100229	HP_0100099|HP_0100082
HP_0400002	HP_0000356
HP_0030639	HP_0007642
HP_0003238	HP_0010876
HP_0010740	HP_0031367
HP_0005205	
HP_0031606	HP_0030506
HP_0025279	HP_0011008
HP_0007516	HP_0001582
HP_0100841	HP_0002577
HP_0009606	HP_0010001|HP_0009943|HP_0009612
HP_0008273	HP_0003355
HP_0005380	
HP_0012638	HP_0000707
HP_0031565	HP_0011620
HP_0002074	HP_0011813
HP_0003886	HP_0031095|HP_0005622
HP_0003850	HP_0003025|HP_0009809
HP_0004601	HP_0003298
HP_0010075	HP_0001449|HP_0010054
HP_0005549	HP_0001875
HP_0031138	HP_0010876
HP_0005604	
HP_0030182	HP_0010549
HP_0003514	HP_0003287
HP_0009473	HP_0100360|HP_0009810|HP_0001155
HP_0008650	
HP_0004593	
HP_0012026	HP_0012025
HP_0200133	HP_0100712
HP_0005344	HP_0011004
HP_0001287	HP_0011450|HP_0012649
HP_0006131	
HP_0430028	HP_0000326
HP_0007943	HP_0000381
HP_0000973	HP_0008067
HP_0007079	
HP_0030442	HP_0030440
HP_3000079	HP_0011842
HP_0003041	HP_0002818|HP_0003063|HP_0003938|HP_0100744
HP_0008910	
HP_0006749	HP_0007378
HP_0011275	HP_0011274
HP_0001724	
HP_0002223	HP_0100840|HP_0002298
HP_0005136	HP_0004382
HP_0000729	HP_0000708
HP_0006103	
